stationname	date	rides
68105	O'Hare Airport	2019-03-13	9413
68106	O'Hare Airport	2019-03-14	11424
68107	O'Hare Airport	2019-03-15	14877
68108	O'Hare Airport	2019-03-16	8914
68109	O'Hare Airport	2019-03-17	9290
68110	O'Hare Airport	2019-03-18	10964
68111	O'Hare Airport	2019-03-19	9457
68112	O'Hare Airport	2019-03-20	9601
68113	O'Hare Airport	2019-03-21	10714
68114	O'Hare Airport	2019-03-22	11365
68115	O'Hare Airport	2019-03-23	8563
68116	O'Hare Airport	2019-03-24	9318
68117	O'Hare Airport	2019-03-25	10673
68118	O'Hare Airport	2019-03-26	9459
68119	O'Hare Airport	2019-03-27	9996
68120	O'Hare Airport	2019-03-28	10633
68121	O'Hare Airport	2019-03-29	11066
68122	O'Hare Airport	2019-03-30	7580
68123	O'Hare Airport	2019-03-31	9350
72508	O'Hare Airport	2019-04-01	11269
72509	O'Hare Airport	2019-04-02	10224
72510	O'Hare Airport	2019-04-03	10692
72511	O'Hare Airport	2019-04-04	11930
72512	O'Hare Airport	2019-04-05	12293
72513	O'Hare Airport	2019-04-06	8365
72514	O'Hare Airport	2019-04-07	10082
72515	O'Hare Airport	2019-04-08	12150
72516	O'Hare Airport	2019-04-09	10622
72517	O'Hare Airport	2019-04-10	8096
72518	O'Hare Airport	2019-04-11	11657
72519	O'Hare Airport	2019-04-12	11942
72520	O'Hare Airport	2019-04-13	8519
72521	O'Hare Airport	2019-04-14	7941
72522	O'Hare Airport	2019-04-15	11928
72523	O'Hare Airport	2019-04-16	10910
72524	O'Hare Airport	2019-04-17	10740
72525	O'Hare Airport	2019-04-18	12932
72526	O'Hare Airport	2019-04-19	11815
72527	O'Hare Airport	2019-04-20	8485
72528	O'Hare Airport	2019-04-21	11617
72529	O'Hare Airport	2019-04-22	12694
72530	O'Hare Airport	2019-04-23	10945
72531	O'Hare Airport	2019-04-24	10904
72532	O'Hare Airport	2019-04-25	11923
72533	O'Hare Airport	2019-04-26	12401
72534	O'Hare Airport	2019-04-27	8004
72535	O'Hare Airport	2019-04-28	10661
72536	O'Hare Airport	2019-04-29	11395
72537	O'Hare Airport	2019-04-30	9398
76848	O'Hare Airport	2019-05-01	10755
76849	O'Hare Airport	2019-05-02	12358
76850	O'Hare Airport	2019-05-03	13095
76851	O'Hare Airport	2019-05-04	9014
76852	O'Hare Airport	2019-05-05	10403
76853	O'Hare Airport	2019-05-06	11763
76854	O'Hare Airport	2019-05-07	10657
76855	O'Hare Airport	2019-05-08	11073
76856	O'Hare Airport	2019-05-09	12880
76857	O'Hare Airport	2019-05-10	14114
76858	O'Hare Airport	2019-05-11	10257
76859	O'Hare Airport	2019-05-12	11867
76860	O'Hare Airport	2019-05-13	12682
76861	O'Hare Airport	2019-05-14	11018
76862	O'Hare Airport	2019-05-15	11338
76863	O'Hare Airport	2019-05-16	12894
76864	O'Hare Airport	2019-05-17	13957
76865	O'Hare Airport	2019-05-18	9507
76866	O'Hare Airport	2019-05-19	11032
76867	O'Hare Airport	2019-05-20	13230
76868	O'Hare Airport	2019-05-21	11806
76869	O'Hare Airport	2019-05-22	12022
76870	O'Hare Airport	2019-05-23	13830
76871	O'Hare Airport	2019-05-24	14875
76872	O'Hare Airport	2019-05-25	10427
76873	O'Hare Airport	2019-05-26	9436
76874	O'Hare Airport	2019-05-27	11892
76875	O'Hare Airport	2019-05-28	13677
76876	O'Hare Airport	2019-05-29	11589
76877	O'Hare Airport	2019-05-30	12601
