station_id	stationname	date	daytype	rides
63867	40890	O'Hare Airport	2019-02-22	W	10495
63868	40890	O'Hare Airport	2019-02-23	A	6967
63869	40890	O'Hare Airport	2019-02-24	U	8470
63870	40890	O'Hare Airport	2019-02-25	W	10004
63871	40890	O'Hare Airport	2019-02-26	W	8791
63872	40890	O'Hare Airport	2019-02-27	W	8800
63873	40890	O'Hare Airport	2019-02-28	W	9964
68093	40890	O'Hare Airport	2019-03-01	W	10968
68094	40890	O'Hare Airport	2019-03-02	A	7762
68095	40890	O'Hare Airport	2019-03-03	U	9041
68096	40890	O'Hare Airport	2019-03-04	W	9690
68097	40890	O'Hare Airport	2019-03-05	W	9056
68098	40890	O'Hare Airport	2019-03-06	W	9209
68099	40890	O'Hare Airport	2019-03-07	W	10067
68100	40890	O'Hare Airport	2019-03-08	W	10756
68101	40890	O'Hare Airport	2019-03-09	A	7786
68102	40890	O'Hare Airport	2019-03-10	U	9013
68103	40890	O'Hare Airport	2019-03-11	W	10814
68104	40890	O'Hare Airport	2019-03-12	W	8008
68105	40890	O'Hare Airport	2019-03-13	W	9413
68106	40890	O'Hare Airport	2019-03-14	W	11424
68107	40890	O'Hare Airport	2019-03-15	W	14877
68108	40890	O'Hare Airport	2019-03-16	A	8914
68109	40890	O'Hare Airport	2019-03-17	U	9290
68110	40890	O'Hare Airport	2019-03-18	W	10964
68111	40890	O'Hare Airport	2019-03-19	W	9457
68112	40890	O'Hare Airport	2019-03-20	W	9601
68113	40890	O'Hare Airport	2019-03-21	W	10714
68114	40890	O'Hare Airport	2019-03-22	W	11365
68115	40890	O'Hare Airport	2019-03-23	A	8563
68116	40890	O'Hare Airport	2019-03-24	U	9318
68117	40890	O'Hare Airport	2019-03-25	W	10673
68118	40890	O'Hare Airport	2019-03-26	W	9459
68119	40890	O'Hare Airport	2019-03-27	W	9996
68120	40890	O'Hare Airport	2019-03-28	W	10633
68121	40890	O'Hare Airport	2019-03-29	W	11066
68122	40890	O'Hare Airport	2019-03-30	A	7580
68123	40890	O'Hare Airport	2019-03-31	U	9350
72508	40890	O'Hare Airport	2019-04-01	W	11269
72509	40890	O'Hare Airport	2019-04-02	W	10224
72510	40890	O'Hare Airport	2019-04-03	W	10692
72511	40890	O'Hare Airport	2019-04-04	W	11930
72512	40890	O'Hare Airport	2019-04-05	W	12293
72513	40890	O'Hare Airport	2019-04-06	A	8365
