station_id	stationname	date	daytype	rides
32338	40590	Damen/Milwaukee	2018-07-04	U	2957
32339	40590	Damen/Milwaukee	2018-07-05	W	5475
32340	40590	Damen/Milwaukee	2018-07-06	W	6410
32341	40590	Damen/Milwaukee	2018-07-07	A	4338
32342	40590	Damen/Milwaukee	2018-07-08	U	3350
32343	40590	Damen/Milwaukee	2018-07-09	W	6495
32344	40590	Damen/Milwaukee	2018-07-10	W	6585
32345	40590	Damen/Milwaukee	2018-07-11	W	6862
32346	40590	Damen/Milwaukee	2018-07-12	W	6936
32347	40590	Damen/Milwaukee	2018-07-13	W	7227
32348	40590	Damen/Milwaukee	2018-07-14	A	4515
32349	40590	Damen/Milwaukee	2018-07-15	U	3741
32350	40590	Damen/Milwaukee	2018-07-16	W	6367
32351	40590	Damen/Milwaukee	2018-07-17	W	6775
32352	40590	Damen/Milwaukee	2018-07-18	W	6939
32353	40590	Damen/Milwaukee	2018-07-19	W	7039
32354	40590	Damen/Milwaukee	2018-07-20	W	6948
32355	40590	Damen/Milwaukee	2018-07-21	A	4565
32356	40590	Damen/Milwaukee	2018-07-22	U	3476
32357	40590	Damen/Milwaukee	2018-07-23	W	6891
32358	40590	Damen/Milwaukee	2018-07-24	W	6844
32359	40590	Damen/Milwaukee	2018-07-25	W	6966
32360	40590	Damen/Milwaukee	2018-07-26	W	6993
32361	40590	Damen/Milwaukee	2018-07-27	W	8011
32362	40590	Damen/Milwaukee	2018-07-28	A	7637
32363	40590	Damen/Milwaukee	2018-07-29	U	5719
32364	40590	Damen/Milwaukee	2018-07-30	W	6618
32365	40590	Damen/Milwaukee	2018-07-31	W	6669
36809	40590	Damen/Milwaukee	2018-08-01	W	6981
36810	40590	Damen/Milwaukee	2018-08-02	W	8107
36811	40590	Damen/Milwaukee	2018-08-03	W	8328
36812	40590	Damen/Milwaukee	2018-08-04	A	5368
36813	40590	Damen/Milwaukee	2018-08-05	U	4691
36814	40590	Damen/Milwaukee	2018-08-06	W	6419
36815	40590	Damen/Milwaukee	2018-08-07	W	6330
36816	40590	Damen/Milwaukee	2018-08-08	W	6908
